# How to read a genus, for scripts/frdbi_gap.py.
#
# FRDBI records what a fungus was found ON as well as the fungus, so a ranking
# taken from it raw is led by beech, oak and the grasses. It also holds
# thousands of records for leaf spots, mildews and rusts that are real fungi
# and are nothing a flow built around caps, gills and spore prints can ask
# about. Classifying at genus rather than species keeps this auditable: 186
# genera cover the top 300 taxa, and a genus is a judgement somebody can check.
#
#   fungus       a macrofungus somebody would photograph on a walk
#   slime-mould  not a fungus at all, and photographed anyway -- see the script
#   lichen       a lichen -- a fungus with no cap, gills or spore print, so
#                the flow has nothing to ask it; an out-of-scope negative
#   micro        leaf spot, mildew, rust, or a cup a few millimetres across
#   host         plant, animal or higher taxon; FRDBI records associations
#
# Every genus the label space already holds is in here as `fungus`, however
# rare it is in FRDBI. A genus counted as nothing is a genus whose species can
# never show up as covered, and the genera this app most needs to get right --
# Omphalotus, Gyromitra, Galerina -- are exactly the uncommon ones. A test
# derives that requirement from the taxonomy rather than from this comment.
#
# UNREVIEWED, like everything else compiled here.
genus,kind
# --- hosts -------------------------------------------------------------------
Aegopodium,host
Arum,host
Carex,host
Chamaenerion,host
Dactylis,host
Epilobium,host
Hedera,host
Hyacinthoides,host
Juncus,host
Lapsana,host
Mercurialis,host
Phragmites,host
Plantago,host
Pseudotsuga,host
Rhododendron,host
Rosa,host
Senecio,host
Sonchus,host
Sorbus,host
Sphagnum,host
Acer,host
Aesculus,host
Alnus,host
Anthophyta,host
Betula,host
Bos,host
Bryophyta,host
Bryopsida,host
Carpinus,host
Castanea,host
Circaea,host
Cirsium,host
Corylus,host
Crataegus,host
Equus,host
Fagus,host
Ficaria,host
Filipendula,host
Fraxinus,host
Gymnospermae,host
Heracleum,host
Ilex,host
Larix,host
Magnoliopsida,host
Musci,host
Oryctolagus,host
Picea,host
Pinaceae,host
Pinophyta,host
Pinus,host
Poaceae,host
Populus,host
Prunus,host
Pteridium,host
Quercus,host
Ranunculus,host
Rubus,host
Rumex,host
Salix,host
Sambucus,host
Silene,host
Taraxacum,host
Taxus,host
Tilia,host
Tussilago,host
Ulex,host
Ulmus,host
Urtica,host
# --- leaf spots, mildews, rusts, minute cups ---------------------------------
Calloria,micro
Chaetosphaerella,micro
Cheilymenia,micro
Cudoniella,micro
Dasyscyphella,micro
Entyloma,micro
Eutypa,micro
Golovinomyces,micro
Hyaloscypha,micro
Hymenoscyphus,micro
Melampsora,micro
Melampsoridium,micro
Milesina,micro
Mycosphaerella,micro
Neoerysiphe,micro
Orbilia,micro
Peronospora,micro
Phacidium,micro
Podosphaera,micro
Polydesmia,micro
Puccinia,micro
Pyrenopeziza,micro
Taphrina,micro
Trichoderma,micro
Uromyces,micro
Calycina,micro
Claviceps,micro
Coleosporium,micro
Cyathicula,micro
Diatrype,micro
Diatrypella,micro
Erysiphe,micro
Hypomyces,micro
Kuehneola,micro
Lachnum,micro
Leptosphaeria,micro
Mollisia,micro
Nectria,micro
Phragmidium,micro
Ramularia,micro
Rhopographus,micro
Rhytisma,micro
Sawadaea,micro
Trochila,micro
# --- slime moulds ------------------------------------------------------------
Arcyria,slime-mould
Ceratiomyxa,slime-mould
Didymium,slime-mould
Fuligo,slime-mould
Mucilago,slime-mould
Physarum,slime-mould
Trichia,slime-mould
Lycogala,slime-mould
Reticularia,slime-mould
Stemonitis,slime-mould
# --- lichens ----------------------------------------------------------------
Xanthoria,lichen
# --- macrofungi --------------------------------------------------------------
Baeospora,fungus
Biscogniauxia,fungus
Calvatia,fungus
Cerioporus,fungus
Cordyceps,fungus
Craterellus,fungus
Cylindrobasidium,fungus
Dermoloma,fungus
Gyromitra,fungus
Lentinus,fungus
Lepista,fungus
