name,records
Fagus sylvatica,124946
Anthophyta,106955
Quercus,105849
Poaceae,104924
Betula,95442
Fagus,49277
Pinus sylvestris,34462
Corylus avellana,32003
Quercus robur,30413
Fraxinus excelsior,29991
Pinus,28832
Salix,24249
Acer pseudoplatanus,22356
Pinophyta,22176
Hypholoma fasciculare,19158
Trametes versicolor,19002
Betula pendula,18916
Stereum hirsutum,17481
Xylaria hypoxylon,16684
Picea,15677
Laccaria laccata,15296
Fomitopsis betulina,13844
Gymnospermae,13170
Russula ochroleuca,12460
Auricularia auricula-judae,12300
Mycena galericulata,12046
Urtica dioica,12029
Paxillus involutus,11719
Amanita rubescens,11515
Daedaleopsis confragosa,10929
Alnus glutinosa,10859
Pluteus cervinus,10445
Rubus fruticosus,10347
Coprinellus micaceus,9872
Rhytisma acerinum,9640
Rhodocollybia butyracea,9499
Cuphophyllus virgineus,9437
Armillaria mellea,9109
Lycoperdon perlatum,8930
Sambucus nigra,8898
Daldinia concentrica,8826
Mycena galopus,8603
Larix,8561
Amanita muscaria,8467
Gymnopus dryophilus,8393
Scleroderma citrinum,8346
Apioperdon pyriforme,8275
Picea abies,8148
Nectria cinnabarina,8013
Clitocybe nebularis,7857
Bjerkandera adusta,7718
Dacrymyces stillatus,7627
Pteridium aquilinum,7340
Phallus impudicus,7296
Cuphophyllus pratensis,7271
Xerocomellus chrysenteron,7238
Hygrocybe conica,7093
Mycena pura,7060
Lactarius quietus,6765
Gliophorus psittacinus,6746
Laccaria amethystina,6729
Stereum rugosum,6624
Russula nigricans,6594
Ulmus,6574
Hygrophoropsis aurantiaca,6555
Collybiopsis peronata,6498
Ganoderma adspersum,6425
Leccinum scabrum,6420
Collybia nuda,6354
Russula cyanoxantha,6328
Fraxinus,6254
Ilex aquifolium,6235
Phragmidium violaceum,6230
Tubaria furfuracea,6092
Calocera viscosa,6068
Bryophyta,6063
Schizopora paradoxa,6018
Betula pubescens,5969
Picea sitchensis,5822
Amanita citrina,5778
Russula atropurpurea,5734
Jackrogersella multiformis,5706
Hypoxylon fuscum,5675
Imleria badia,5648
Hypoxylon fragiforme,5606
Tremella mesenterica,5594
Musci,5550
Cantharellus cibarius,5543
Lactarius tabidus,5480
Amanita fulva,5379
Crataegus monogyna,5357
Inocybe geophylla,5306
Hygrocybe chlorophana,5290
Gymnopilus penetrans,5281
Boletus edulis,5265
Hymenopellis radicata,5219
Quercus petraea,5183
Rickenella fibula,5172
Mycena vitilis,5056
Hygrocybe coccinea,4954
Paralepista flaccida,4936
Collybiopsis confluens,4918
Chlorociboria aeruginascens,4913
Lactarius turpis,4910
Tricholomopsis rutilans,4888
Alnus,4855
Flammulina velutipes,4847
Bolbitius titubans,4801
Crepidotus variabilis,4782
Lactarius blennius,4778
Castanea sativa,4763
Erysiphe alphitoides,4761
Polyporus squamosus,4755
Heterobasidion annosum,4707
Coprinus comatus,4699
Cystoderma amianthinum,4649
Psathyrella candolleana,4566
Diatrype stigma,4565
Lactarius subdulcis,4526
Clitocybe fragrans,4490
Clitopilus prunulus,4463
Stropharia semiglobata,4391
Rhodocollybia maculata,4386
Tilia,4385
Xylaria polymorpha,4365
Mycena inclinata,4348
Psathyrella piluliformis,4336
Calocera cornea,4307
Russula nobilis,4296
Marasmius rotula,4201
Polyporus leptocephalus,4169
Mycena arcangeliana,4164
Leptosphaeria acuta,4148
Parasola plicatilis,4148
Collybiopsis ramealis,4107
Rhopographus filicinus,4101
Lepiota cristata,4089
Entoloma conferendum,4040
Marasmius oreades,4019
Coprinopsis atramentaria,4015
Pleurotus ostreatus,4014
Chlorophyllum rhacodes,4011
Exidia glandulosa,3998
Laetiporus sulphureus,3977
Magnoliopsida,3972
Russula fellea,3963
Mucidula mucida,3943
Diatrype disciformis,3930
Clavulinopsis helvola,3928
Ficaria verna,3912
Hebeloma crustuliniforme,3890
Chondrostereum purpureum,3877
Clavulina coralloides,3860
Ascocoryne sarcoides,3819
Mycena filopes,3762
Heracleum sphondylium,3734
Acer,3696
Lacrymaria lacrymabunda,3694
Pinaceae,3693
Xylodon sambuci,3692
Kuehneromyces mutabilis,3686
Mycena leptocephala,3680
Fistulina hepatica,3675
Trametes gibbosa,3628
Suillus grevillei,3623
Byssomerulius corium,3599
Mycena epipterygia,3549
Russula betularum,3529
Hygrocybe ceracea,3489
Russula fragilis,3485
Mycena haematopus,3448
Trochila ilicina,3435
Erysiphe heraclei,3428
Hymenochaete rubiginosa,3425
Rubus,3423
Hydnum repandum,3414
Trichaptum abietinum,3411
Lactarius glyciosmus,3394
Mollisia cinerea,3371
Coprinellus disseminatus,3368
Infundibulicybe gibba,3358
Mycena polygramma,3344
Tricholoma fulvum,3330
Crataegus,3329
Panaeolus papilionaceus,3305
Phloeomana speirea,3293
Lycoperdon nigrescens,3272
Stereum gausapatum,3256
Taxus baccata,3251
Lachnum virgineum,3233
Lactarius rufus,3232
Kretzschmaria deusta,3207
Silene dioica,3206
Calycina citrina,3202
Gymnopus fusipes,3201
Scleroderma verrucosum,3162
Calocera pallidospathulata,3157
Crepidotus mollis,3150
Fomes fomentarius,3103
Hygrocybe insipida,3088
Claviceps purpurea,3071
Macrolepiota procera,3011
Fuligo septica,3005
Megacollybia platyphylla,2976
Xerocomus subtomentosus,2975
Meripilus giganteus,2966
Ganoderma applanatum,2947
Bryopsida,2943
Agaricus campestris,2941
Phlebia radiata,2933
Peniophora quercina,2912
Russula vesca,2904
Inocybe lilacina,2883
Hygrocybe quieta,2868
Ulex europaeus,2862
Clavulinopsis corniculata,2843
Xylaria carpophila,2841
Pholiota squarrosa,2825
Neoboletus praestigiator,2812
Panaeolina foenisecii,2806
Hypomyces chrysospermus,2796
Coleosporium tussilaginis,2791
Hygrocybe punicea,2764
Hygrocybe reidii,2764
Mycena tenerrima,2763
Populus,2757
Salix caprea,2751
Exidia nucleata,2736
Gymnopus androsaceus,2704
Helvella crispa,2684
Exidia thuretiana,2678
Ampulloclitocybe clavipes,2645
Bos taurus,2640
Mycena sanguinolenta,2636
Psilocybe semilanceata,2630
Carpinus betulus,2610
Crepidotus cesatii,2610
Lactarius torminosus,2606
Bulgaria inquinans,2605
Hedera helix,2601
Lycogala epidendrum,2595
Aesculus hippocastanum,2592
Chalciporus piperatus,2578
Phlebia tremellosa,2577
Coprinopsis lagopus,2576
Suillus luteus,2576
Russula emetica,2565
Clavulina cinerea,2501
Fuscoporia ferrea,2465
Pluteus salicinus,2462
Gliophorus laetus,2457
Pseudosperma rimosum,2456
Calocybe gambosa,2451
Postia caesia,2445
Mycena rosea,2440
Agaricus sylvaticus,2429
Amanita excelsa,2425
Panellus stipticus,2412
Leotia lubrica,2409
Ramularia rubella,2394
Acer campestre,2385
Oryctolagus cuniculus,2374
Psathyrella corrugis,2374
Atheniella flavoalba,2372
Prunus spinosa,2362
Diatrypella quercina,2360
Kuehneola uredinis,2352
Clavulina rugosa,2333
Gliophorus irrigatus,2327
Infundibulicybe geotropa,2323
Lycoperdon excipuliforme,2322
