priority,toxicity,scientific_name,common_name,character,question,permitted_states,CURRENT_states,confused_with,QA_agree_yes_no,QA_corrected_states,QA_notes,QA_BY
1,DEADLY,Amanita phalloides,Death Cap,Cap colour,What colour is the cap?,White or cream;Yellow;Orange;Red;Brown;Olive or greenish;Grey;Purple,Olive or greenish;Yellow;White or cream;Brown;Grey,Agaricus campestris; Agaricus arvensis; Russula cyanoxantha; Macrolepiota procera; Volvopluteus gloiocephalus,,,,
1,DEADLY,Amanita phalloides,Death Cap,How the gills meet the stem,How do the gills meet the stem?,"Running down the stem;Squarely attached;Notched just before the stem;Free, not touching the stem","Free, not touching the stem",Agaricus campestris; Agaricus arvensis; Russula cyanoxantha; Macrolepiota procera; Volvopluteus gloiocephalus,,,,
1,DEADLY,Amanita phalloides,Death Cap,Ring on the stem,Is there a ring or skirt of tissue on the stem?,Firm skirt-like ring;Cobwebby fibres;Faint zone only;No ring,Firm skirt-like ring,Agaricus campestris; Agaricus arvensis; Russula cyanoxantha; Macrolepiota procera; Volvopluteus gloiocephalus,,,,
1,DEADLY,Amanita phalloides,Death Cap,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,White or cream,Agaricus campestris; Agaricus arvensis; Russula cyanoxantha; Macrolepiota procera; Volvopluteus gloiocephalus,,,,
1,DEADLY,Amanita phalloides,Death Cap,Base of the stem,Dig up the very base of the stem. Is there a cup or bag around it?,Clear cup or sac;Swollen but no cup;Neither;I cut it off,Clear cup or sac,Agaricus campestris; Agaricus arvensis; Russula cyanoxantha; Macrolepiota procera; Volvopluteus gloiocephalus,,,,
1,DEADLY,Amanita virosa,Destroying Angel,Bruising,Does it change colour when cut or rubbed?,"Yellow, especially at the stem base;Red or pink;Blue;Green;Brown;No change",,Agaricus arvensis; Agaricus campestris; Lycoperdon perlatum; Calocybe gambosa,,,,
1,DEADLY,Amanita virosa,Destroying Angel,Gill colour,What colour are the gills right now?,White;Pink;Brown;Chocolate or black;Yellow or green;Grey,White,Agaricus arvensis; Agaricus campestris; Lycoperdon perlatum; Calocybe gambosa,,,,
1,DEADLY,Amanita virosa,Destroying Angel,Ring on the stem,Is there a ring or skirt of tissue on the stem?,Firm skirt-like ring;Cobwebby fibres;Faint zone only;No ring,Firm skirt-like ring;Faint zone only,Agaricus arvensis; Agaricus campestris; Lycoperdon perlatum; Calocybe gambosa,,,,
1,DEADLY,Amanita virosa,Destroying Angel,Spore print,What colour is the spore print?,White or cream;Pink;Rust or cinnamon brown;Chocolate or purple-brown;Black;Olive or yellow,White or cream,Agaricus arvensis; Agaricus campestris; Lycoperdon perlatum; Calocybe gambosa,,,,
1,DEADLY,Amanita virosa,Destroying Angel,Base of the stem,Dig up the very base of the stem. Is there a cup or bag around it?,Clear cup or sac;Swollen but no cup;Neither;I cut it off,Clear cup or sac,Agaricus arvensis; Agaricus campestris; Lycoperdon perlatum; Calocybe gambosa,,,,
1,DEADLY,Clitocybe rivulosa,Fool's Funnel; Ivory Funnel; Sweating Mushroom,Cap surface,What is the cap surface like?,Smooth and dry;Slimy or greasy;Scaly;Fibrous;Velvety;Pitted or honeycombed;Brain-like or folded,Smooth and dry,Marasmius oreades; Calocybe gambosa; Clitopilus prunulus,,,,
1,DEADLY,Clitocybe rivulosa,Fool's Funnel; Ivory Funnel; Sweating Mushroom,How the gills meet the stem,How do the gills meet the stem?,"Running down the stem;Squarely attached;Notched just before the stem;Free, not touching the stem",Running down the stem,Marasmius oreades; Calocybe gambosa; Clitopilus prunulus,,,,
1,DEADLY,Clitocybe rivulosa,Fool's Funnel; Ivory Funnel; Sweating Mushroom,Gill spacing,Are the gills crowded together or well spaced?,Crowded;Well spaced,Crowded,Marasmius oreades; Calocybe gambosa; Clitopilus prunulus,,,,
1,DEADLY,Clitocybe rivulosa,Fool's Funnel; Ivory Funnel; Sweating Mushroom,Surroundings,What trees are within about ten metres?,Oak;Beech;Birch;Pine or spruce;Mixed broadleaf;No trees nearby,No trees nearby;Mixed broadleaf,Marasmius oreades; Calocybe gambosa; Clitopilus prunulus,,,,
