severity,toxicity,dangerous,dangerous_key,lookalike,lookalike_key,character,dangerous_described,lookalike_described,verdict,REVIEW_states_for_undescribed_side,REVIEW_notes,REVIEWER
1,DEADLY,Amanita phalloides,amanita-phalloides,Agaricus arvensis,agaricus-arvensis,cap_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita phalloides,amanita-phalloides,Agaricus arvensis,agaricus-arvensis,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita phalloides,amanita-phalloides,Agaricus arvensis,agaricus-arvensis,spore_print_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita phalloides,amanita-phalloides,Agaricus campestris,agaricus-campestris,cap_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita phalloides,amanita-phalloides,Agaricus campestris,agaricus-campestris,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita phalloides,amanita-phalloides,Agaricus campestris,agaricus-campestris,ring,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita phalloides,amanita-phalloides,Agaricus sylvaticus,agaricus-sylvaticus,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita phalloides,amanita-phalloides,Amanita citrina,amanita-citrina,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita phalloides,amanita-phalloides,Amanita excelsa,amanita-excelsa,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita phalloides,amanita-phalloides,Amanita excelsa,amanita-excelsa,spore_print_colour,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
1,DEADLY,Amanita phalloides,amanita-phalloides,Amanita fulva,amanita-fulva,gill_attachment,yes,no,one-way: can only move mass AWAY from the dangerous species,,,
