rank,records,scientific_name,common_name,in_label_space,toxicity,genus,dangerous_already_in_genus,confusion_note,REVIEW_verdict,REVIEW_notes,REVIEWER
1,19158,Hypholoma fasciculare,Sulphur Tuft,yes,TOXIC,Hypholoma,,,,,
2,19002,Trametes versicolor,Turkeytail,yes,NO_RECORDED_TOXICITY,Trametes,,,,,
3,17481,Stereum hirsutum,Hairy Curtain Crust,yes,NO_RECORDED_TOXICITY,Stereum,,,,,
4,16684,Xylaria hypoxylon,Candlesnuff Fungus,yes,NO_RECORDED_TOXICITY,Xylaria,,,,,
5,15296,Laccaria laccata,Deceiver,yes,NO_RECORDED_TOXICITY,Laccaria,,the deceiver -- variable enough that beginners match it to almost anything,,,
6,13844,Fomitopsis betulina,Birch Polypore; Razorstrop Fungus,yes,NO_RECORDED_TOXICITY,Fomitopsis,,,,,
7,12460,Russula ochroleuca,Ochre Brittlegill,yes,NO_RECORDED_TOXICITY,Russula,,,,,
8,12300,Auricularia auricula-judae,Jelly Ear; Wood Ear,yes,NO_RECORDED_TOXICITY,Auricularia,,,,,
9,12046,Mycena galericulata,Common Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
10,11719,Paxillus involutus,Brown Roll-rim,yes,SERIOUS,Paxillus,Paxillus involutus,,,,
11,11515,Amanita rubescens,The Blusher,yes,TOXIC,Amanita,Amanita pantherina; Amanita phalloides; Amanita virosa,,,,
12,10929,Daedaleopsis confragosa,Blushing Bracket,yes,NO_RECORDED_TOXICITY,Daedaleopsis,,,,,
13,10445,Pluteus cervinus,Deer Shield,yes,NO_RECORDED_TOXICITY,Pluteus,,free pink gills; Volvopluteus and young Amanita both read similarly,,,
14,9872,Coprinellus micaceus,Glistening Inkcap,yes,NO_RECORDED_TOXICITY,Coprinellus,,"clustered on wood, and Galerina marginata is too",,,
15,9499,Rhodocollybia butyracea,Butter Cap,yes,NO_RECORDED_TOXICITY,Rhodocollybia,,,,,
16,9437,Cuphophyllus virgineus,Snowy Waxcap,yes,NO_RECORDED_TOXICITY,Cuphophyllus,,,,,
17,9109,Armillaria mellea,Honey Fungus,yes,TOXIC,Armillaria,,"clustered on wood, which is the funeral bell's own habit",,,
18,8930,Lycoperdon perlatum,Common Puffball,yes,NO_RECORDED_TOXICITY,Lycoperdon,,,,,
19,8826,Daldinia concentrica,King Alfred's Cakes; Cramp Balls,yes,NO_RECORDED_TOXICITY,Daldinia,,,,,
20,8603,Mycena galopus,Milking Bonnet,yes,NO_RECORDED_TOXICITY,Mycena,,,,,
21,8467,Amanita muscaria,Fly Agaric,yes,TOXIC,Amanita,Amanita pantherina; Amanita phalloides; Amanita virosa,,,,
22,8393,Gymnopus dryophilus,Russet Toughshank,yes,NO_RECORDED_TOXICITY,Gymnopus,,,,,
23,8346,Scleroderma citrinum,Common Earthball,yes,TOXIC,Scleroderma,,,,,
24,8275,Apioperdon pyriforme,Stump Puffball,yes,NO_RECORDED_TOXICITY,Apioperdon,,,,,
25,7857,Clitocybe nebularis,Clouded Funnel; Clouded Agaric,yes,TOXIC,Clitocybe,Clitocybe dealbata; Clitocybe rivulosa,,,,
26,7718,Bjerkandera adusta,Smoky Bracket,yes,NO_RECORDED_TOXICITY,Bjerkandera,,,,,
27,7627,Dacrymyces stillatus,Common Jellyspot,yes,NO_RECORDED_TOXICITY,Dacrymyces,,,,,
28,7296,Phallus impudicus,Stinkhorn; Common Stinkhorn,yes,NO_RECORDED_TOXICITY,Phallus,,,,,
29,7271,Cuphophyllus pratensis,Meadow Waxcap,yes,NO_RECORDED_TOXICITY,Cuphophyllus,,,,,
30,7238,Xerocomellus chrysenteron,Red Cracking Bolete,yes,NO_RECORDED_TOXICITY,Xerocomellus,,,,,
31,7093,Hygrocybe conica,Blackening Waxcap,yes,TOXIC,Hygrocybe,,,,,
32,7060,Mycena pura,Lilac Bonnet,yes,TOXIC,Mycena,,,,,
33,6765,Lactarius quietus,Oakbug Milkcap,yes,NO_RECORDED_TOXICITY,Lactarius,,,,,
34,6746,Gliophorus psittacinus,Parrot Waxcap,yes,NO_RECORDED_TOXICITY,Gliophorus,,,,,
35,6729,Laccaria amethystina,Amethyst Deceiver,yes,NO_RECORDED_TOXICITY,Laccaria,,,,,
36,6624,Stereum rugosum,Bleeding Broadleaf Crust,yes,NO_RECORDED_TOXICITY,Stereum,,,,,
37,6594,Russula nigricans,Blackening Brittlegill,yes,NO_RECORDED_TOXICITY,Russula,,,,,
